No.	Quantity	Comment	Designator	Footprint	Value	Manufacturer Part	Manufacturer	Supplier Part	Supplier	LCSC Stock	JLCPCB Stock	JLCPCB Price
1	1	1uF	C1	CAP-TH_BD5.0-P2.00-D0.8-FD	1uF	KF010M050C110A	CapXon(丰宾)	C62934	LCSC		6	0.0038
2	1	10nF	C2	CAP-TH_L8.0-W4.0-P5.00-D1.2	10nF	N09F1B103MN0B0S0N0	STE(松田)	C249157	LCSC		2049	0.0059
3	1	PZ254V-11-02P	H1	HDR-TH_2P-P2.54-V-M		PZ254V-11-02P	XFCN(兴飞)	C492401	LCSC		1501114	0.0025
4	10	XL-502UWC	LED1,LED2,LED3,LED4,LED5,LED6,LED7,LED8,LED9,LED10	LED-TH_BD5.9-P2.54-RD_WHITE		XL-502UWC	XINGLIGHT(成兴光)	C2895480	LCSC		18894	0.005
5	1	2.54-1*1P针	P1	HDR-TH_1P-P2.54-V-M		2.54-1*1P针	BOOMELE(博穆精密)	C81276	LCSC		121371	0.002
6	1	1kΩ	R1	RES-TH_BD2.3-L6.5-P10.50-D0.5	1kΩ	MF1/4W-1KΩ±1%T52	华星机电	C713997	LCSC		457778	0.0012
7	1	470Ω	R2	RES-TH_BD2.2-L6.5-P10.50-D0.6	470Ω	MFR0W4F4700A50	UNI-ROYAL(厚声)	C58592	LCSC		1165	0.0021
8	1	50kΩ	R3	RES-ADJ-TH_3P-L9.5-W4.85-P2.50-BL-L	50kΩ	3296X-1-503	BOCHEN(博晨)	C118912	LCSC		1688	0.0269
9	1	NE555P	U1	DIP-8_L9.8-W6.6-P2.54-LS7.6-BL		NE555P	TI(德州仪器)	C46749	LCSC		12368	0.0399
10	1	CD4017BE(LX)	U2	PDIP-16_L19.3-W6.4-P2.54-LS7.94-BL		CD4017BE(LX)	LX(灵星芯微)	C32710674	LCSC		1846	0.0205
